goos: linux
goarch: amd64
cpu: AMD EPYC
,v2,,v3.0.0,,,,v3,,,,main,,,
Request/json_bind,32,0%,32,0%,~,p=1.000 n=10,32,0%,~,p=1.000 n=10,32,0%,~,p=1.000 n=10
Request/json_response_1024,1216,0%,1216,0%,~,p=1.000 n=10,1216,0%,~,p=1.000 n=10,1216,0%,~,p=1.000 n=10
Request/json_bind_1024,1056,0%,1056,0%,~,p=1.000 n=10,1056,0%,~,p=1.000 n=10,1056,0%,~,p=1.000 n=10
Request/json_response_16384,18498,0%,18498,0%,~,p=1.000 n=10,18498,0%,~,p=1.000 n=10,18498,0%,~,p=1.000 n=10
Request/json_bind_16384,16420,0%,16422,0%,+0.01%,p=0.000 n=10,16422,0%,+0.01%,p=0.000 n=10,16421,0%,+0.01%,p=0.000 n=10
Request/static_routes_100,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/static_routes_1000,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
geomean,,,,,?,,,,?,,,,?,

,v2,,v3.0.0,,,,v3,,,,main,,,
,allocs/op,CI,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P
Request/fasthttp_only,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/static,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/parameter,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/wildcard,1,0%,1,0%,~,p=1.000 n=10,1,0%,~,p=1.000 n=10,1,0%,~,p=1.000 n=10
Request/query_lookup,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/header_lookup,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/locals,0,0%,1,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
Request/query_bind,22,0%,21,0%,-4.55%,p=0.000 n=10,3,0%,-86.36%,p=0.000 n=10,1,0%,-95.45%,p=0.000 n=10
Request/middleware_chain,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/cors_simple,0,0%,1,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10
Request/cors_preflight,2,0%,6,0%,+200.00%,p=0.000 n=10,4,0%,+100.00%,p=0.000 n=10,2,0%,~,p=1.000 n=10
Request/recover_no_panic,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/not_found_default,3,0%,1,0%,-66.67%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10
Request/not_found_custom,2,0%,0,0%,-100.00%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10
Request/json_response,3,0%,3,0%,~,p=1.000 n=10,3,0%,~,p=1.000 n=10,3,0%,~,p=1.000 n=10
Request/json_bind,1,0%,1,0%,~,p=1.000 n=10,1,0%,~,p=1.000 n=10,1,0%,~,p=1.000 n=10
Request/json_response_1024,3,0%,3,0%,~,p=1.000 n=10,3,0%,~,p=1.000 n=10,3,0%,~,p=1.000 n=10
Request/json_bind_1024,2,0%,2,0%,~,p=1.000 n=10,2,0%,~,p=1.000 n=10,2,0%,~,p=1.000 n=10
Request/json_response_16384,3,0%,3,0%,~,p=1.000 n=10,3,0%,~,p=1.000 n=10,3,0%,~,p=1.000 n=10
Request/json_bind_16384,2,0%,2,0%,~,p=1.000 n=10,2,0%,~,p=1.000 n=10,2,0%,~,p=1.000 n=10
Request/static_routes_100,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/static_routes_1000,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
geomean,,,,,?,,,,?,,,,?,
